title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
No Direction Home: Bob Dylan,Movie,2005,G,208,Music,"['GB', 'US', 'JP']",,,,
No Direction Home: Bob Dylan,Movie,2005,G,208,Documentation,"['GB', 'US', 'JP']",,,,
Angel Beats!,TV Show,2010,TV-14,26,Scifi,['JP'],1.0,tt1639109,7.7,13848.0
Angel Beats!,TV Show,2010,TV-14,26,Action,['JP'],1.0,tt1639109,7.7,13848.0
Angel Beats!,TV Show,2010,TV-14,26,Comedy,['JP'],1.0,tt1639109,7.7,13848.0
Angel Beats!,TV Show,2010,TV-14,26,Drama,['JP'],1.0,tt1639109,7.7,13848.0
Angel Beats!,TV Show,2010,TV-14,26,Fantasy,['JP'],1.0,tt1639109,7.7,13848.0
Angel Beats!,TV Show,2010,TV-14,26,Animation,['JP'],1.0,tt1639109,7.7,13848.0
Blood and Bone,Movie,2009,R,93,Thriller,['US'],,tt0346631,6.7,33051.0
Blood and Bone,Movie,2009,R,93,Action,['US'],,tt0346631,6.7,33051.0
Blood and Bone,Movie,2009,R,93,Crime,['US'],,tt0346631,6.7,33051.0
Blood and Bone,Movie,2009,R,93,Drama,['US'],,tt0346631,6.7,33051.0
Blood and Bone,Movie,2009,R,93,Sport,['US'],,tt0346631,6.7,33051.0
Ip Man 2,Movie,2010,R,108,Drama,"['CN', 'HK']",,tt1386932,7.5,103673.0
Ip Man 2,Movie,2010,R,108,History,"['CN', 'HK']",,tt1386932,7.5,103673.0
Ip Man 2,Movie,2010,R,108,Sport,"['CN', 'HK']",,tt1386932,7.5,103673.0
Ip Man 2,Movie,2010,R,108,Action,"['CN', 'HK']",,tt1386932,7.5,103673.0
Masha and the Bear,TV Show,2009,TV-Y,6,Comedy,['RU'],5.0,tt1884856,7.6,3114.0
Masha and the Bear,TV Show,2009,TV-Y,6,Family,['RU'],5.0,tt1884856,7.6,3114.0
Masha and the Bear,TV Show,2009,TV-Y,6,Action,['RU'],5.0,tt1884856,7.6,3114.0
Masha and the Bear,TV Show,2009,TV-Y,6,Animation,['RU'],5.0,tt1884856,7.6,3114.0
Like Stars on Earth,Movie,2007,PG,165,Drama,['IN'],,tt0986264,8.3,188234.0
Like Stars on Earth,Movie,2007,PG,165,Family,['IN'],,tt0986264,8.3,188234.0
Monty Python: Almost the Truth (The Lawyer's Cut),TV Show,2009,TV-MA,55,Comedy,['US'],1.0,tt1422182,8.1,1740.0
Monty Python: Almost the Truth (The Lawyer's Cut),TV Show,2009,TV-MA,55,Documentation,['US'],1.0,tt1422182,8.1,1740.0
The Legend of Bruce Lee,TV Show,2008,,45,Action,['CN'],1.0,tt1059455,7.0,1422.0
The Legend of Bruce Lee,TV Show,2008,,45,Drama,['CN'],1.0,tt1059455,7.0,1422.0
Ouran High School Host Club,TV Show,2006,TV-14,23,Comedy,['JP'],1.0,tt0816397,8.2,9763.0
Ouran High School Host Club,TV Show,2006,TV-14,23,Drama,['JP'],1.0,tt0816397,8.2,9763.0
Ouran High School Host Club,TV Show,2006,TV-14,23,Animation,['JP'],1.0,tt0816397,8.2,9763.0
Ouran High School Host Club,TV Show,2006,TV-14,23,Romance,['JP'],1.0,tt0816397,8.2,9763.0
Felon,Movie,2008,R,103,Crime,['US'],,tt1117385,7.4,78039.0
Felon,Movie,2008,R,103,Thriller,['US'],,tt1117385,7.4,78039.0
Felon,Movie,2008,R,103,Drama,['US'],,tt1117385,7.4,78039.0
Felon,Movie,2008,R,103,Action,['US'],,tt1117385,7.4,78039.0
The Ultimatum,TV Show,2009,TV-14,44,Drama,['SG'],1.0,tt1682704,5.4,6.0
