title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
One Piece: The Desert Princess and the Pirates: Adventure in Alabasta,Movie,2007,PG-13,90,Animation,['JP'],,tt1037116,6.9,1611.0
One Piece: The Desert Princess and the Pirates: Adventure in Alabasta,Movie,2007,PG-13,90,Action,['JP'],,tt1037116,6.9,1611.0
Bo on the Go!,TV Show,2007,,22,Animation,['CA'],4.0,tt1516172,4.1,118.0
Waist Deep,Movie,2006,R,97,Thriller,['US'],,tt0456020,5.8,9957.0
Waist Deep,Movie,2006,R,97,Drama,['US'],,tt0456020,5.8,9957.0
Waist Deep,Movie,2006,R,97,Crime,['US'],,tt0456020,5.8,9957.0
Waist Deep,Movie,2006,R,97,Action,['US'],,tt0456020,5.8,9957.0
Naruto: Guardians of the Crescent Moon Kingdom,Movie,2006,PG-13,95,Action,['JP'],,tt1071815,6.4,3975.0
Naruto: Guardians of the Crescent Moon Kingdom,Movie,2006,PG-13,95,Animation,['JP'],,tt1071815,6.4,3975.0
First Sunday,Movie,2008,PG-13,96,Comedy,['US'],,tt0486578,4.5,10834.0
First Sunday,Movie,2008,PG-13,96,Crime,['US'],,tt0486578,4.5,10834.0
First Sunday,Movie,2008,PG-13,96,Drama,['US'],,tt0486578,4.5,10834.0
Einsatzgruppen: The Nazi Death Squads,TV Show,2009,TV-14,44,Documentation,['FR'],1.0,tt6953928,7.6,603.0
Einsatzgruppen: The Nazi Death Squads,TV Show,2009,TV-14,44,History,['FR'],1.0,tt6953928,7.6,603.0
Einsatzgruppen: The Nazi Death Squads,TV Show,2009,TV-14,44,War,['FR'],1.0,tt6953928,7.6,603.0
Einsatzgruppen: The Nazi Death Squads,TV Show,2009,TV-14,44,European,['FR'],1.0,tt6953928,7.6,603.0
This Is the Life,Movie,2008,,97,Documentation,['US'],,tt1178658,6.3,263.0
This Is the Life,Movie,2008,,97,Music,['US'],,tt1178658,6.3,263.0
My Suicide,Movie,2009,R,107,Comedy,['US'],,tt0492896,7.0,1936.0
My Suicide,Movie,2009,R,107,Drama,['US'],,tt0492896,7.0,1936.0
Kyaa Kool Hai Hum,Movie,2005,,172,Comedy,['IN'],,tt0456500,6.1,3507.0
Kung Fu Panda Awesome Secrets,TV Show,2008,,0,Action,['US'],1.0,tt6963796,7.2,55.0
Kung Fu Panda Awesome Secrets,TV Show,2008,,0,Comedy,['US'],1.0,tt6963796,7.2,55.0
Kung Fu Panda Awesome Secrets,TV Show,2008,,0,Family,['US'],1.0,tt6963796,7.2,55.0
